00AI               20231227                                                                                   
0601AIA1N       20240101000220100000005000 0100000000000108   
0601AIA1N       20240101000225100000005000 0100000000000114   
0601AIA1N       20240101000230100000005000 0100000000000120   
0601AIA1N       20240101000235100000005000 0100000000000131   
0601AIA1N       20240101000240100000005000 0100000000000140   
0601AIA1N       20240101000245100000005000 0100000000000149   
0601AIA1N       20240101000250100000005000 0100000000000154   
0601AIA1N       20240101000255100000005000 0100000000000163   
0601AIA1N       20240101000260100000005000 0100000000000171   
0601AIA1N       20240101000265100000005000 0100000000000183   
0601AIA1N       20240101000270100000005000 0100000000000191   
0601AIA1N       20240101000275100000005000 0100000000000202   
0601AIA1N       20240101000280100000005000 0100000000000212   
0601AIA1N       20240101000285100000005000 0100000000000219   
0601AIA1N       20240101000290100000005000 0100000000000226   
0601AIA1N       20240101000295100000005000 0100000000000239   
0601AIA1N       20240101000300100000005000 0100000000000248   
0601AIA1N       20240101000305100000005000 0100000000000257   
0601AIA1N       20240101000310100000005000 0100000000000266   
0601AIA1N       20240101000315100000005000 0100000000000283   
0601AIA1N       20240101000320100000005000 0100000000000295   
0601AIA1N       20240101000325100000005000 0100000000000302   
0601AIA1N       20240101000330100000005000 0100000000000313   
0601AIA1N       20240101000335100000005000 0100000000000323   
0601AIA1N       20240101000340100000005000 0100000000000333   
0601AIA1N       20240101000345100000005000 0100000000000342   
0601AIA1N       20240101000350100000005000 0100000000000352   
0601AIA1N       20240101000355100000005000 0100000000000364   
0601AIA1N       20240101000360100000005000 0100000000000375   
0601AIA1N       20240101000365100000005000 0100000000000381   
0601AIA1N       20240101000370100000005000 0100000000000392   
0601AIA1N       20240101000375100000005000 0100000000000400   
0601AIA1N       20240101000380100000005000 0100000000000410   
0601AIA1N       20240101000385100000005000 0100000000000418   
0601AIA1N       20240101000390100000005000 0100000000000428   
0601AIA1N       20240101000395100000005000 0100000000000438   
0601AIA1N       20240101000400100000005000 0100000000000445   
0601AIA1N       20240101000405100000005000 0100000000000454   
0601AIA1N       20240101000410100000005000 0100000000000463   
0601AIA1N       20240101000415100000005000 0100000000000472   
0601AIA1N       20240101000420100000005000 0100000000000478   
0601AIA1N       20240101000425100000005000 0100000000000487   
0601AIA1N       20240101000430100000005000 0100000000000495   
0601AIA1N       20240101000435100000005000 0100000000000505   
0601AIA1N       20240101000440100000005000 0100000000000511   
